File,Original,gzip,ratio,bzip2,ratio,xz,ratio,7z ppmd,ratio
random,10000000,10001555,1.0002,10044419,1.0044,10000560,1.0001,10228516,1.0229
zero,10000000,9742,0.0010,49,0.0000,1584,0.0002,3791,0.0004
alice.txt,173595,61370,0.3535,49144,0.2831,54072,0.3115,44065,0.2538
numeric.csv,505009,217219,0.4301,182355,0.3611,188288,0.3728,183292,0.3629
jquery.js,86709,29979,0.3457,27530,0.3175,28292,0.3263,24932,0.2875
image.png,736501,736514,1.0000,739754,1.0044,736600,1.0001,752219,1.0213
music.mp3,4426883,4385198,0.9906,4370711,0.9873,4365156,0.9861,4386499,0.9909
video.mp4,905296268,904838573,0.9995,908527162,1.0036,904758648,0.9994,925040248,1.0218
enwik3,1000,343,0.3430,391,0.3910,400,0.4000,408,0.4080
enwik4,10000,3728,0.3728,3733,0.3733,3656,0.3656,3393,0.3393
enwik5,100000,36145,0.3615,31372,0.3137,33000,0.3300,28115,0.2812
enwik6,1000000,356264,0.3563,281323,0.2813,290692,0.2907,250071,0.2501
enwik7,10000000,3693807,0.3694,2916026,0.2916,2723036,0.2723,2491710,0.2492
enwik8,100000000,36518329,0.3652,29008758,0.2901,26375764,0.2638,24849802,0.2485
enwik9,1000000000,323742882,0.3237,253977891,0.2540,230153052,0.2302,219169705,0.2192
