,poll,date,month,samplesize,likely_registered,marginoferror,trump,clinton
1,Quinnipiac,10/17 - 10/18,10-Oct,1007,1,13,44,50
2,IBD/TIPP Tracking,10/13 - 10/18,10-Oct,782,1,18,41,44
3,Economist/YouGov,10/15 - 10/18,10-Oct,925,2,21,43,47
4,IBD/TIPP Tracking,10/14 - 10/19,10-Oct,779,1,18,41,43
5,FOX News,10/15 - 10/17,10-Oct,912,1,12,42,49
6,LA Times/USC,10/13 - 10/19,10-Oct,3050,1,25,44,44
7,LA Times/USC,10/12 - 10/18,10-Oct,3019,1,25,44,44
8,Bloomberg,10/14 - 10/17,10-Oct,1006,1,13,41,50
9,Reuters/Ipsos,10/13 - 10/17,10-Oct,1190,1,15,39,43
10,Monmouth,10/14 - 10/16,10-Oct,726,1,18,41,53
11,CBS News/NY Times,10/12 - 10/16,10-Oct,1189,1,12,40,51
12,NBC News/Wall St. Jrnl,10/10 - 10/16,10-Oct,24804,1,2,43,51
13,ABC News/Wash Post,10/10 - 10/13,10-Oct,740,1,22,46,50
14,NBC News/Wall St. Jrnl,10/10 - 10/13,10-Oct,905,1,15,41,51
15,FOX News,10/10 - 10/12,10-Oct,917,1,12,41,49
16,NBC News/Wall St. Jrnl,10/8 - 10/10,10-Oct,806,1,17,40,50
17,Reuters/Ipsos,10/6 - 10/10,10-Oct,2363,1,7,37,44
18,NBC News/Wall St. Jrnl,10/8 - 10/9,10-Oct,447,1,26,38,52
19,LA Times/USC,10/7 - 10/13,10-Oct,2879,1,25,44,44
20,Economist/YouGov,10/7 - 10/8,10-Oct,971,2,24,43,48
21,Other,10/5 - 10/9,10-Oct,886,1,21,38,49
22,Quinnipiac,10/5 - 10/6,10-Oct,1064,1,12,44,50
23,NBC News/Wall St. Jrnl,10/3 - 10/9,10-Oct,23329,1,2,44,51
24,FOX News,10/3 - 10/6,10-Oct,896,1,12,44,48
25,Economist/YouGov,10/1 - 10/3,10-Oct,911,2,21,43,48
26,Reuters/Ipsos,9/29 - 10/3,9-Sep,1239,1,14,37,44
27,Other,9/28 - 10/2,9-Sep,609,1,1,41,47
28,CBS News/NY Times,9/28 - 10/2,9-Sep,1217,1,22,43,49
29,CNN/ORC,9/28 - 10/2,9-Sep,1213,1,12,45,51
30,LA Times/USC,9/27 - 10/3,9-Sep,2275,1,25,47,43
