female,texts,underclassman
0,1,0
1,2,0
0,2,0
0,3,0
1,5,0
0,5,0
1,5,1
0,5,0
1,5,0
1,5,0
0,5,1
0,5,0
0,5,1
0,7,1
0,10,1
0,10,0
0,10,1
1,10,1
1,10,0
0,10,0
1,10,1
0,10,0
0,10,0
1,10,0
0,10,0
0,10,0
0,12,0
1,13,0
0,15,0
1,15,0
1,15,1
1,15,0
0,15,1
1,15,0
0,15,0
0,20,0
1,20,1
0,20,0
0,20,1
0,20,1
0,20,1
1,20,0
1,20,0
0,20,1
0,20,0
1,20,0
1,20,0
0,20,0
0,20,1
0,25,1
1,25,1
0,25,0
1,30,0
0,30,0
0,30,0
1,30,0
0,30,0
0,30,1
0,30,1
0,30,1
1,35,1
1,40,0
0,40,0
1,45,1
0,50,1
0,50,1
0,50,1
0,50,0
1,50,1
1,50,0
1,50,1
0,50,1
0,50,0
0,50,0
0,50,1
0,50,0
1,50,0
0,50,0
0,50,0
1,52,0
0,60,1
1,70,1
1,100,1
0,100,0
1,100,1
0,100,1
0,100,1
0,100,1
1,150,1
1,150,0
0,200,1
0,200,1
0,300,1
1,350,0
